"GENE","GO"
"evm.utg10470.24","GO:0007094"
"evm.utg10470.24","GO:0051301"
"evm.utg10470.24","GO:0000278"
"evm.utg116.142","GO:0006468"
"evm.utg11814.6","GO:0016567"
"evm.utg11814.7","GO:0032868"
"evm.utg11814.7","GO:0009410"
"evm.utg11814.7","GO:0006635"
"evm.utg1256.23","GO:0015074"
"evm.utg1569.8","GO:0030154"
"evm.utg1571.14","GO:0045087"
"evm.utg1571.14","GO:0050896"
"evm.utg162.19","GO:0016310"
"evm.utg17372.1","GO:0006302"
"evm.utg2333.11","GO:0007160"
"evm.utg2661.21","GO:0006468"
"evm.utg268.25.1.5c22edff","GO:0007154"
"evm.utg2849.3","GO:2000036"
"evm.utg28737.6","GO:0006281"
"evm.utg334.43","GO:0015074"
"evm.utg35662.1","GO:0046416"
"evm.utg363.1","GO:0007156"
"evm.utg4428.2","GO:0006281"
"evm.utg4613.33","GO:0006468"
"evm.utg479.60","GO:0016311"
"evm.utg4856.49","GO:0006508"
"evm.utg512.80","GO:0001822"
"evm.utg512.80","GO:0050982"
"evm.utg5417.33","GO:0030261"
"evm.utg6459.27","GO:0043631"
"evm.utg816.25","GO:0034765"
"evm.utg9625.2","GO:0007156"
"evm.utg9625.4","GO:0007156"
"evm.utg989.44.45.2.5c2798c8","GO:0006470"
"utg101.equina_smart_1609707.mrna1","GO:0006281"
